University name,Country name
University of Andorra,Andorra
Abu Dhabi University,United Arab Emirates
Ajman University of Science & Technology,United Arab Emirates
Alain University of Science and Technology,United Arab Emirates
Al Ghurair University,United Arab Emirates
Alhosn University,United Arab Emirates
Al Khawarizmi International College,United Arab Emirates
American College Of Dubai,United Arab Emirates
American University in Dubai,United Arab Emirates
American University in the Emirates,United Arab Emirates
American University of Sharjah,United Arab Emirates
British University in Dubai,United Arab Emirates
Dubai Medical College for Girls,United Arab Emirates
Dubai Pharmacy College,United Arab Emirates
Etisalat University College,United Arab Emirates
Gulf Medical University,United Arab Emirates
Hamdan Bin Mohammed e-University,United Arab Emirates
Higher Colleges of Technology,United Arab Emirates
Ittihad University,United Arab Emirates
Jumeira University,United Arab Emirates
Khalifa University,United Arab Emirates
Khalifa University of Science  Technology and Research,United Arab Emirates
Masdar University Of Science And Technology,United Arab Emirates
New York University Abu Dhabi,United Arab Emirates
Paris-Sorbonne University Abu Dhabi,United Arab Emirates
Rak Medical & Health Sciences University,United Arab Emirates
Rochester Institute of Technology  Dubai,United Arab Emirates
Skyline University College  Sharjah,United Arab Emirates
Synergy University  Dubai Campus,United Arab Emirates
The Emirates Academy of Hotel Managment,United Arab Emirates
The Petroleum Institute,United Arab Emirates
United Arab Emirates University,United Arab Emirates
University Of Dubai,United Arab Emirates
University of Jazeera,United Arab Emirates
University of Sharjah,United Arab Emirates
University of Wollongong - Dubai Campus,United Arab Emirates
Zayed University,United Arab Emirates
Afghan University,Afghanistan
Al-Birony University,Afghanistan
American University of Afghanistan,Afghanistan
Aria Institute of Higher Education,Afghanistan
Badakhshan University,Afghanistan
Baghlan University,Afghanistan
Bakhtar University,Afghanistan
Balkh University,Afghanistan
Bamiyan University,Afghanistan
Bost University,Afghanistan
Dawat University,Afghanistan
Dunya Institute of Higher Education,Afghanistan
Faryab Higher Education Institute,Afghanistan
Ghazni University,Afghanistan
Herat University,Afghanistan
Ibn Sina University,Afghanistan
Jawzjan University,Afghanistan
Kaboora Institute of Higher Education,Afghanistan
Kabul Education University,Afghanistan
Kabul Health Sciences Institute,Afghanistan
Kabul Medical University,Afghanistan
Kabul University,Afghanistan
Kandahar University,Afghanistan
Kardan University,Afghanistan
Karwan Institute of Higher Education,Afghanistan
Kateb Institute of Higher Education,Afghanistan
Khana-e-Noor Institute of Higher Education,Afghanistan
Khurasan University,Afghanistan
Maryam Institute of Higher Education,Afghanistan
Nangarhar University,Afghanistan
National Military Academy of Afghanistan,Afghanistan
Paktia University,Afghanistan
Pamir University,Afghanistan
Parwan University,Afghanistan
Polytechnical University of Kabul,Afghanistan
Rana Institute of Higher Education,Afghanistan
Sadat Institute of Higher Education,Afghanistan
Salam University,Afghanistan
Shaikh Zayed University,Afghanistan
Taj Institute of Higher Education,Afghanistan
Takhar University,Afghanistan
American University of Antigua,Antigua
University of Health Sciences Antigua,Antigua
Academy of Arts,Albania
Academy of Sports and Physical Training,Albania
Agricultural University of Tirane,Albania
American University of Tirana,Albania
Beder University,Albania
Epoka University,Albania
Polytechnic University of Tirane,Albania
"University of Elbasan ""Aleksander Xhuvani""",Albania
"University of Gjirokstra ""Eqerem Cabej""",Albania
"University of Korca ""Fan Noli""",Albania
University of New York Tirana,Albania
"University of Shkodra ""Luigj Gurakuqi""",Albania
University of Tirana,Albania
"University of Vlora ""Ismail Qemali""",Albania
University “Pavaresia” Vlore,Albania
American University of Armenia,Armenia
Armenian State Agrarian University,Armenia
Armenian State University of Economics,Armenia
Eurasia International University,Armenia
European Regional Educational Academy of Armenia,Armenia
