University,Country,Latitude,Longitude
University name,Country name,,
University of Andorra,Andorra,42.4653237,1.490649
Abu Dhabi University,United Arab Emirates,24.365309,54.562999
Ajman University of Science & Technology,United Arab Emirates,25.4122955,55.5065758
Alain University of Science and Technology,United Arab Emirates,24.240762,55.740842
Al Ghurair University,United Arab Emirates,25.1105046,55.40692809999999
Alhosn University,United Arab Emirates,24.4601334,54.37699569999999
Al Khawarizmi International College,United Arab Emirates,24.2370244,55.7031576
American College Of Dubai,United Arab Emirates,25.2355351,55.3493361
American University in Dubai,United Arab Emirates,25.091209,55.1560728
American University in the Emirates,United Arab Emirates,25.122847,55.4111643
American University of Sharjah,United Arab Emirates,25.3115602,55.49265029999999
British University in Dubai,United Arab Emirates,25.1250915,55.4113376
Dubai Medical College for Girls,United Arab Emirates,25.2504161,55.4174453
Dubai Pharmacy College,United Arab Emirates,25.2503726,55.4170542
Etisalat University College,United Arab Emirates,25.3461555,55.42109319999999
Gulf Medical University,United Arab Emirates,25.4173839,55.5007485
Hamdan Bin Mohammed e-University,United Arab Emirates,25.1048702,55.3924318
Higher Colleges of Technology,United Arab Emirates,23.424076,53.847818
Ittihad University,United Arab Emirates,25.697534,55.878052
Jumeira University,United Arab Emirates,25.1461092,55.2550386
Khalifa University,United Arab Emirates,24.4473556,54.3949088
Khalifa University of Science  Technology and Research,United Arab Emirates,25.3542829,55.3990626
Masdar University Of Science And Technology,United Arab Emirates,23.424076,53.847818
New York University Abu Dhabi,United Arab Emirates,24.5238948,54.4345558
Paris-Sorbonne University Abu Dhabi,United Arab Emirates,24.488783,54.412114
Rak Medical & Health Sciences University,United Arab Emirates,25.7669727,55.9767795
Rochester Institute of Technology  Dubai,United Arab Emirates,25.1310757,55.38948269999999
Skyline University College  Sharjah,United Arab Emirates,25.2904004,55.4677254
Synergy University  Dubai Campus,United Arab Emirates,25.0683251,55.1450851
The Emirates Academy of Hotel Managment,United Arab Emirates,25.1375693,55.1899113
The Petroleum Institute,United Arab Emirates,24.4202154,54.5019644
United Arab Emirates University,United Arab Emirates,24.200588,55.67603399999999
University Of Dubai,United Arab Emirates,25.1060895,55.41438429999999
University of Jazeera,United Arab Emirates,25.244253,55.39319219999999
University of Sharjah,United Arab Emirates,25.2867653,55.47830450000001
University of Wollongong - Dubai Campus,United Arab Emirates,25.1018385,55.162755
Zayed University,United Arab Emirates,25.0998642,55.38657019999999
Afghan University,Afghanistan,34.5337816,69.1020894
Al-Birony University,Afghanistan,33.93911,67.709953
American University of Afghanistan,Afghanistan,34.4755224,69.1264538
Aria Institute of Higher Education,Afghanistan,33.93911,67.709953
Badakhshan University,Afghanistan,37.1037178,70.5278778
Baghlan University,Afghanistan,35.9442253,68.70848699999999
Bakhtar University,Afghanistan,34.5103926,69.1393927
Balkh University,Afghanistan,36.7101554,67.1272604
Bamiyan University,Afghanistan,34.8011295,67.83277369999999
Bost University,Afghanistan,31.5927441,64.3642543
Dawat University,Afghanistan,34.5312763,69.0886573
Dunya Institute of Higher Education,Afghanistan,33.93911,67.709953
Faryab Higher Education Institute,Afghanistan,35.9090878,64.7882292
Ghazni University,Afghanistan,33.5290084,68.4767972
Herat University,Afghanistan,34.3677723,62.2113082
Ibn Sina University,Afghanistan,33.93911,67.709953
Jawzjan University,Afghanistan,36.6726284,65.7413376
Kaboora Institute of Higher Education,Afghanistan,34.5488185,69.1702786
Kabul Education University,Afghanistan,34.5323516,69.11271769999999
Kabul Health Sciences Institute,Afghanistan,34.5553494,69.207486
Kabul Medical University,Afghanistan,34.519347,69.1329308
Kabul University,Afghanistan,34.5174164,69.1359186
Kandahar University,Afghanistan,31.6322768,65.6973369
Kardan University,Afghanistan,34.54924130000001,69.1527279
Karwan Institute of Higher Education,Afghanistan,34.5178173,69.1242858
Kateb Institute of Higher Education,Afghanistan,34.4968727,69.0522453
Khana-e-Noor Institute of Higher Education,Afghanistan,34.5264841,69.1960761
Khurasan University,Afghanistan,34.4303223,70.43267689999999
Maryam Institute of Higher Education,Afghanistan,33.93911,67.709953
Nangarhar University,Afghanistan,34.4773441,70.3671505
National Military Academy of Afghanistan,Afghanistan,34.5352247,69.07067119999999
Paktia University,Afghanistan,33.6381234,69.23312229999999
Pamir University,Afghanistan,33.3371197,69.91748129999999
Parwan University,Afghanistan,35.0010661,69.1680172
Polytechnical University of Kabul,Afghanistan,34.5342002,69.1193756
Rana Institute of Higher Education,Afghanistan,34.53669740000001,69.1439822
Sadat Institute of Higher Education,Afghanistan,33.93911,67.709953
Salam University,Afghanistan,34.5470644,69.1421
Shaikh Zayed University,Afghanistan,33.35061260000001,69.87027739999999
Taj Institute of Higher Education,Afghanistan,36.711911,67.1314569
Takhar University,Afghanistan,36.742507,69.4870536
American University of Antigua,Antigua,17.1561272,-61.7975807
University of Health Sciences Antigua,Antigua,17.0162772,-61.75252529999999
Academy of Arts,Albania,41.3177272,19.8203662
Academy of Sports and Physical Training,Albania,41.153332,20.168331
Agricultural University of Tirane,Albania,41.3615567,19.769577
American University of Tirana,Albania,41.280102,19.8626052
Beder University,Albania,41.3392547,19.8110335
Epoka University,Albania,41.4046859,19.7063579
Polytechnic University of Tirane,Albania,41.316766,19.8215501
"University of Elbasan ""Aleksander Xhuvani""",Albania,41.122091,20.0794841
"University of Gjirokstra ""Eqerem Cabej""",Albania,40.0824861,20.1370951
"University of Korca ""Fan Noli""",Albania,40.6274667,20.7854247
University of New York Tirana,Albania,41.3094479,19.8019597
"University of Shkodra ""Luigj Gurakuqi""",Albania,42.06622369999999,19.5095856
University of Tirana,Albania,41.317775,19.8223261
"University of Vlora ""Ismail Qemali""",Albania,40.4542704,19.4847554
